UserID,Username,PostID,PostContent,Timestamp,Likes,Comments,Shares,Followers,Following,Sentiment
7b756993-9397-4627-8ce3-692b8833ca0f,danielbenson,09f37627-fa89-48fc-8301-a99ced82f7c1,Nature agent speech wall. Group early east across. Follow job country the though especially. Which loss sense name allow water analysis ten.,2024-03-30 17:55:42,865,21,119,4953,1615,negative
985b4399-8c8f-4f79-aad1-960a6cd1502d,dunlapashley,db6dd0ec-3215-452a-8480-bf8ad6c42fcd,Leader long attorney most begin. Rise television stay skill pass often. Value section theory politics industry key purpose computer.,2024-04-28 08:47:49,423,211,110,114,4511,positive
1a1f0082-f0b8-48bc-a73f-0db40e9bfc06,oshaffer,f33d74e5-48ec-49e8-86f4-99a11055bbaf,"Southern poor pick education suddenly executive.
Little Mr chance indeed. Back detail buy. Glass federal environmental speak allow lot eye.",2024-01-31 03:34:07,677,18,20,1759,2220,neutral
421dc340-ac03-48b2-b899-aba642c6bbdd,brittneychan,a982e702-fb2f-46a0-9f67-4dc74f7b6455,Join interesting boy brother far sense prevent push. Least step source daughter. Happen practice develop various everyone full game.,2024-01-02 11:35:14,605,209,252,3061,3771,neutral
2b2a6108-ce39-47e2-b508-05d721916d7d,jonesmargaret,7d7e233d-39f8-4d76-b133-371c559d0af5,"Professional enough positive defense yes. Later baby interesting while method effort happen however.
Economy religious authority represent. Wind three fear hand. Large early perform growth.",2024-04-21 21:43:45,738,53,97,725,175,negative
362e583d-0ac2-4027-83b7-ba4538e3c35d,robert63,2d94361e-4e4e-445e-b0fb-5a615b603c94,"Call stuff raise ball force ability real war. Little onto trouble follow speak heart.
Than still need cold capital food training. Claim court at attorney prove.",2024-04-20 23:51:32,290,262,223,3807,3133,negative
aeaa42d4-34a3-43ad-a65f-65bd0c62a056,susan68,7f3c9183-4291-4247-9c6e-76174ff87ae8,"Another three entire various. Hour always nature guy begin ground final.
Issue job imagine about fire. Measure other stage much your whole.
Today sense huge institution fill help point.",2024-06-06 04:11:51,889,150,171,4338,130,neutral
d8922479-aa2c-477a-a315-8de43c088af7,trevor09,741be8ad-a29e-49b4-92ad-c0d88f2471ae,"Fight hear performance this realize none. Case hot group top line.
Sit several program even ball bag. Power data edge race study officer military.",2024-04-08 10:59:26,481,400,229,961,1671,positive
7157845a-4422-4a39-97e1-a0dee8e15f5f,aaronjackson,5a08c747-d175-4323-a9cd-33a437eae503,"Job win any author win century. By after thought whatever detail dream cup.
News western gas foot base involve. Into become entire action west wish especially Mrs. Agreement here agree card.",2024-06-10 04:04:24,599,72,290,1192,2279,neutral
d551cdd1-8ce2-4293-bd77-413bce525d1e,fkirby,029eecde-f16a-46b0-8a8f-58d31cc03854,Issue if the feeling about class. Nice though office forget. Yet someone improve bad budget.,2024-02-07 06:39:10,871,270,215,4288,4581,positive
c8f41e00-18ae-4ce2-bfc7-9f899a2738c3,vrojas,f03633d4-54f0-4588-8848-8a4952e4a2fb,"See seat wrong time. Property whose report great.
Response between order avoid bill. Here memory despite official treat base.",2024-02-05 11:13:25,14,404,22,1545,1603,negative
f377d2b0-e3e3-4f97-a647-265fdd15ba71,michael91,b50f0799-6261-4ded-b8ca-5979e093b66f,Understand knowledge bank coach too always. Enjoy rock method. Avoid staff story information though gas from. Fire page list number a play we.,2024-03-08 22:44:25,313,176,211,2402,2391,positive
5933e412-709b-49b7-a937-6adeecf7f69b,fgreen,c95fe56e-e578-4dda-8922-17287da399b2,"Win language Mrs mention pass. By card minute difference. Off west glass industry our true.
Discussion product degree. Ok worker lawyer pull write weight skill. Recent team chair heavy season seek.",2024-05-29 06:13:04,353,270,158,2,4209,negative
52209f3a-3b3c-4696-9a7a-9b7cf001e84b,jason41,0a443d9d-3fb4-4b8c-a86c-9abe71c1e954,Claim then area town choose worry. Within recognize star series article civil. Phone detail color list toward good.,2024-06-15 20:38:13,500,325,58,452,2416,positive
044f3c76-a43f-45b5-ab7b-ad8e57b59ece,uallen,d1b71150-03d9-44dd-81b5-d4f5d53ba6d7,"Add describe condition political. Late particular concern strong. Eye early point eight black main.
Room pull major away catch. Claim phone require crime happy. Chance meet another least door PM.",2024-01-20 11:06:32,655,84,128,3648,3761,positive
393c4925-cd6d-4da1-b5e2-cedeba5776fa,amy11,c51776d0-03b0-4574-ba07-31d1bd3f5b03,"Ahead better end member them. Human sense full most reduce present. American field lawyer along role.
Experience cut door study focus involve us agent. Act company management deal property.",2024-05-14 11:24:03,276,209,74,328,1177,negative
39d84704-140e-4113-ba9b-d384af7a619f,morganbradley,799c9ddc-d631-4f97-9672-2e3fd0dafcde,"Somebody provide face little father point or. City every raise development produce rather. Young spend your.
Industry truth can relationship. Remain seem building away military dream.",2024-05-29 09:38:58,383,176,44,994,2342,negative
fcafca97-fbff-46a7-baa2-2319c041094f,eayala,bfddf219-8281-4e37-8908-6cfebd81feda,Couple feeling couple product. Baby pass hour say brother president adult. Provide experience single market sister feeling meet. Agent its if site focus particularly newspaper.,2024-03-03 02:53:42,928,379,226,3043,3923,positive
0e5948c4-f7ea-4b87-b813-c2d78586ce5a,tgonzales,4d131ee0-6136-4e22-ab0f-98659a091864,"Set range keep fight.
Partner begin federal present let director. Resource drive sign store.
Season term become lawyer recent grow cause set. Scientist study rise. Also that cost matter.",2024-05-03 01:56:52,618,191,114,3943,219,negative
52b70df3-9ee7-49e7-951b-574d757d9c66,travismartin,3bf4c646-dd97-4629-bd25-7138ed66a552,Congress practice represent before structure. Event herself less approach. Popular lay recognize score back wide enjoy impact.,2024-04-13 05:24:49,654,217,16,3053,2184,positive
48d19f57-21d9-4fe0-81dc-8703ebe34c95,chad41,e573d665-387f-400e-a28c-16699a87a245,Indicate thousand decision admit be war them. Difference whose phone play company.,2024-06-20 04:52:31,970,443,3,717,3728,negative
f07c76f1-0b3b-452b-93eb-e9867246602f,andreaadams,9778062c-1c10-4c05-af9a-f2889b55df72,"Method feeling shake born into. Pretty have line step western somebody kind.
Paper claim clear several work any admit step. Every social pull today little.",2024-02-23 00:10:12,140,210,106,1301,2446,negative
d4840942-5acf-4c67-9d72-255d33d24066,jenniferpena,27bf5da1-4896-4def-a52b-e6d641afa4fc,During house wear hot product. Team party wish next. Maintain popular evening house difference.,2024-02-17 22:38:39,700,431,145,1220,24,positive
6f62a487-227b-418b-b536-9fa8008675a6,johnpruitt,4b8e2b1e-d521-45ba-8162-7f7c57fb65e0,Camera able our site carry. Face citizen agreement world ever sense. Mother order memory.,2024-03-28 01:08:00,689,280,268,3554,4628,negative
5e7191e1-681e-4637-884c-d04395b8d150,christina33,3ef09d7c-4b12-4265-a1e4-050f42c3fa65,Clear cultural official Congress vote style. Force watch vote work region. Shake already mouth remain boy. Student lead activity music issue health trial.,2024-04-18 13:12:38,38,107,95,3109,2469,negative
de17ffac-e50c-4e10-bf37-b67bb5be1a03,justinstevens,ef4c81f5-952f-4d66-8cbf-bb1a4010028c,Under ten late crime mention throughout certain idea. Couple section customer defense how. Learn mean health like true age. Maintain there white art level fact.,2024-06-07 21:55:24,608,63,153,2870,1129,neutral
5bb0c09e-547a-4b9b-8b2f-73ef51073262,steven68,cd36303e-e52a-4c44-9737-55fb0c4e1522,"Whom give cost national happy probably forward. Lot their stop decide term represent beautiful. Resource huge ago girl service.
Prove site teacher final create. College newspaper base enter put.",2024-06-16 23:33:39,251,155,189,3622,2243,positive
0072399f-0e26-4288-ba85-a5650886fe56,dale66,3f64b41c-1ebf-47da-9a99-cf5f9a37006f,"Power key night water author consider. Last bad it my memory oil attack.
Home member amount image order society present. American thought at including.",2024-01-14 00:23:29,489,227,205,1872,43,neutral
3ce87f7a-8a6c-4615-8ff3-8b12c14da3ae,linda55,51b37cfa-bfc7-4ae9-83cb-1177284a3ae6,"Be describe agreement.
Yet far camera throughout. I rule skill forget. Six experience indicate agree offer.",2024-05-29 05:47:35,963,494,64,3444,1837,negative
92a453c3-56b9-4dbe-9e18-1116da552063,ashley38,c4704b62-9c2c-4ad2-b201-5bd8eb4689a7,"Price wide size room all myself. Down help man radio chance accept the. Character beat person space.
Create hotel read.",2024-02-25 13:14:42,996,461,280,1149,4767,negative
76bc0be7-cb57-4949-90d6-6f521cf26d17,parkjamie,78138a15-b188-4ce9-bc0f-b4f019370d8b,Run yeah future interview soldier mind. Pass western set speak why health color. Account wall discuss college risk recent affect.,2024-02-22 19:55:40,792,450,159,1301,2436,negative
b527f185-8ae6-45a8-b57a-fae779f01aa9,russellmary,26653401-a2b7-4b03-ad11-a7da86c11d33,Material debate everything charge huge. Describe exactly create whole sense help. Room its condition home.,2024-02-22 20:36:28,44,139,15,908,4011,negative
e783fdc0-3f52-4950-b95d-a6622e9b6de7,david46,175fd123-62dc-4222-8454-3aadd574b193,"Only effort receive second small. Home city fine majority subject bit.
West paper before card enter information true. See center all industry. Attorney side current clearly section great.",2024-02-13 22:26:42,196,433,220,2464,3075,neutral
8354814e-d1c6-4059-a57e-63a5877e7e8f,gonzalesolivia,fbc9b3d2-b6b2-4568-b5e0-ca57d3e5ee6d,"Daughter article again much true.
Of seek political trial. Care though talk certain knowledge he.
To finish campaign property difference.",2024-06-21 14:23:17,479,439,227,3834,1736,negative
a409f951-58c1-4685-b6ac-9748557bf1b6,matthewthompson,516b45c4-2140-45c5-a2ea-dfae24bca399,"World employee player long. Nothing third enough toward visit too measure.
Raise get light down. Remain bring work. Travel scene stay not.
Student allow government special. Short note describe.",2024-04-16 19:52:43,655,230,74,706,133,neutral
ebe1c8a9-a2d1-4ad4-9a41-10d166cf3b19,olopez,b0945c15-eb25-4c47-8ebe-cf32c74976b4,"Each street none fight offer. Region happy media especially five student popular.
Such hundred option popular. Simply happy kind exist certain. Despite affect read region key show.",2024-01-07 18:41:36,937,321,173,3792,1655,positive
e03c549f-3044-4737-9fd0-831def685299,davisaustin,32f8c5d8-1f68-4e11-97ba-7382dfc15bd4,"His prove true. Carry task light theory eat avoid up international. View full gas third notice candidate defense.
So whatever traditional your me commercial technology.",2024-06-13 10:40:27,407,478,206,2964,275,neutral
4af7cf3e-1830-4f52-8050-f091c24f4669,cunninghamjames,ccf7e5a2-4143-404e-b9b4-a721cd145398,Apply main head within cultural. Time community without born skill such happen. Possible notice themselves occur customer. For early charge analysis kitchen book goal.,2024-04-03 07:14:39,596,497,217,1662,4033,positive
01669451-30ad-42c9-b676-ee94fd918785,angela47,27fc1d1f-853d-4c86-b03e-0282f536d7c4,At strong beautiful sound fast responsibility. Second but quality section deep fish job. Top million start explain relationship.,2024-04-24 15:09:58,242,408,55,1156,569,positive
fa86453e-8139-44cf-a9e0-d2c9ea4c9b90,lindsayayers,eec296e4-48e6-4cd1-ab90-79a2dc165b79,"Cup shoulder performance day. Enjoy operation box piece.
Free read establish set near suddenly city. Tonight candidate see project rate pretty choice.",2024-01-20 10:25:26,951,184,118,1384,2725,positive
be7d3cea-b3b6-4bc7-9567-fea9e79bfc6b,cainchristian,28de2954-7447-4d00-9b2f-bf0c10004c5f,"Still two quite relate process stuff. Claim my account result off probably stuff. Simple occur guess subject baby end.
Police foot drop. Window hand say could fly.",2024-03-17 13:47:36,641,326,122,2620,4973,neutral
